light
30
9.2
2.4
2.4
5.4
21.4
65.6
76.6
79.2
80.8
81.4
81.2
83.8
65.6
46.8
19.4
54.6
54
54
54
30
8
6.6
7.8
11
23.8
60.6
73
75.4
74.6
73.4
74.6
70.8
62.4
35.8
25.8
54
54
54
46.6
15
9
6.6
7.8
10.4
25.6
62.8
71
74.2
75.4
75.8
71.6
68.4
62.6
30.2
32.4
54
54
54
54
30.2
6.6
6
7.2
13.2
31
70.4
68.2
76
72.2
69.8
69.6
73.6
70.2
51.6
54
54
54
25.6
54.2
46.6
9
8.8
7.2
15.8
33.6
62.2
69.4
77.2
77
72.6
74.2
72.4
58
43.2
54
54
54
54
22.4
12.6
6.6
4.8
6.6
13.6
38.8
69.6
76.4
77.2
87
85.2
83.6
78
65
30
54
54
54
54
22
12.4
12.6
10
9.6
16.8
37.6
68
73.2
80.4
81
81.2
78.2
77.6
58.6
20
54.2
54
54
46
14.2
10.4
4.8
10.2
8.8
16.2
50.4
75
79.8
86
89.4
87
88.2
78.8
60.6
54
54
54
54
54
30.2
8.4
2.4
5.4
10
16.6
54
74.4
80.4
85.6
81.6
85.6
86.2
75.8
48.2
19.6
27.6
33.8
54
54
30
8.8
4.8
3.6
9
19.2
56.6
72.8
78
82.2
81.6
79.4
80.8
73.6
40.6
26.2
19.4
19
47.2
54
54
7.2
2.4
2.4
9.2
20.8
60.4
76.2
81.6
87.4
88.8
86.4
83.8
70.4
40.4
34
20
54.2
54
54
15
8.4
6
7.2
12.4
21.6
61.4
73.6
82.6
83
83
78.4
74.2
61
45.6
54.6
33
54.2
54
30.8
13.8
3.6
4.8
6
12.2
25.2
67.2
75.2
73.8
76.2
81.4
81.6
71.2
56.8
21.4
19.6
18.8
47.6
56
56
22.6
4.8
6
6
14.6
28
65
73.6
79.2
85
80
86.2
81.8
59
20.4
19
33.6
56
56
47.2
11.2
6
6
6
14
32.4
68.2
75.4
78
79.6
74.4
72
65.2
43.8
26.8
20.4
56.2
56
56
56
12.6
3.6
3.6
4.8
16.4
36.2
70.4
78.6
85.8
81.6
80.6
81.2
71.6
51.8
55.4
56
56
56
56
56
56
56
16.6
4.8
15.8
35
68.6
69.2
76.6
86.4
84.6
83.4
73.8
45.6
56
56
56
56
56
56
46
7.2
6.6
8.4
16.6
33
59.6
68.8
72.6
73
70.2
69.2
61.2
56.2
56
56
56
56
56
56
36
4.8
6
10.8
17
32.6
63
70.8
75.8
89.2
86.4
73.6
66
56.6
55
47
41
41.2
46
46
20.8
6.6
5.4
9.2
19.4
46.8
66.8
70.4
73.6
79.6
76
69.6
52.8
46.2
47.4
46.4
46
46
46
33.4
8.4
6
